Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,activity,unit_activity,date_activity,emissions
3.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.2,g/GJ,"US EPA (1998), chapter 1.7",PM2.5,HERE,"",416.324129182128,GJ,2020-03-01,1332.23721338281
14.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0143,g/GJ,"US EPA (1998), chapter 1.7",As,HERE,"",416.324129182128,GJ,2020-03-01,5.95343504730444
0.27,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.00027,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",416.324129182128,GJ,2020-03-01,0.112407514879175
1,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1,% of PM2.5,Kupiainen and Klimont (2007),BC,HERE,"",384.781180987009,GJ,2020-04-01,12.3129977915843
2.1,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.1e-06,g/GJ,"US EPA (1998), chapter 1.7","Indeno(1,2,3-cd)pyrene",HERE,"",384.781180987009,GJ,2020-04-01,0.000808040480072718
1.3,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.3e-06,g/GJ,"US EPA (1998), chapter 1.7",Benzo(a)pyrene,HERE,"",384.781180987009,GJ,2020-04-01,0.000500215535283111
45,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.045,g/GJ,"US EPA (1998), chapter 1.7",Se,HERE,"",384.781180987009,GJ,2020-04-01,17.3151531444154
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",384.781180987009,GJ,2020-04-01,3.84781180987009e-06
1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.001,g/GJ,EMEP/EEA Guidebook (2006),Cu,HERE,"",384.781180987009,GJ,2020-04-01,0.384781180987009
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",384.781180987009,GJ,2020-04-01,1269.77789725713
11.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",11.7,g/GJ,"US EPA (1998), chapter 1.7",TSP,HERE,"",384.781180987009,GJ,2020-04-01,4501.939817548
9.7,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0097,g/GJ,"US EPA (1998), chapter 1.7",Ni,HERE,"",384.781180987009,GJ,2020-04-01,3.73237745557398
9.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0091,g/GJ,"US EPA (1998), chapter 1.7",Cr,HERE,"",384.781180987009,GJ,2020-04-01,3.50150874698178
2.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0029,g/GJ,"US EPA (1998), chapter 1.7",Hg,HERE,"",384.781180987009,GJ,2020-04-01,1.11586542486233
1.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0018,g/GJ,"US EPA (1998), chapter 1.7",Cd,HERE,"",384.781180987009,GJ,2020-04-01,0.692606125776616
15,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.015,g/GJ,"US EPA (1998), chapter 1.7",Pb,HERE,"",384.781180987009,GJ,2020-04-01,5.77171771480513
7.9,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",7.9,g/GJ,"US EPA (1998), chapter 1.7",PM10,HERE,"",384.781180987009,GJ,2020-04-01,3039.77132979737
8.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0088,g/GJ,EMEP/EEA Guidebook (2006),Zn,HERE,"",384.781180987009,GJ,2020-04-01,3.38607439268568
1680,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1680,g/GJ,See note in Guidebook chapter,SOx,HERE,"",384.781180987009,GJ,2020-04-01,646432.384058175
1.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.4,g/GJ,"US EPA (1998), chapter 1.7",NMVOC,HERE,"",384.781180987009,GJ,2020-04-01,538.693653381812
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.7",CO,HERE,"",384.781180987009,GJ,2020-04-01,3347.59627458697
247,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",247,g/GJ,"US EPA (1998), chapter 1.7",NOx,HERE,"",384.781180987009,GJ,2020-04-01,95040.9517037911
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",384.781180987009,GJ,2020-04-01,0.00257803391261296
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",384.781180987009,GJ,2020-04-01,0.0111586542486232
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",384.781180987009,GJ,2020-04-01,0.0142369036965193
3.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.2,g/GJ,"US EPA (1998), chapter 1.7",PM2.5,HERE,"",384.781180987009,GJ,2020-04-01,1231.29977915843
14.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0143,g/GJ,"US EPA (1998), chapter 1.7",As,HERE,"",384.781180987009,GJ,2020-04-01,5.50237088811422
0.27,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.00027,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",384.781180987009,GJ,2020-04-01,0.103890918866492
1,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1,% of PM2.5,Kupiainen and Klimont (2007),BC,HERE,"",392.68075565211,GJ,2020-05-01,12.5657841808675
2.1,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.1e-06,g/GJ,"US EPA (1998), chapter 1.7","Indeno(1,2,3-cd)pyrene",HERE,"",392.68075565211,GJ,2020-05-01,0.000824629586869432
1.3,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.3e-06,g/GJ,"US EPA (1998), chapter 1.7",Benzo(a)pyrene,HERE,"",392.68075565211,GJ,2020-05-01,0.000510484982347743
45,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.045,g/GJ,"US EPA (1998), chapter 1.7",Se,HERE,"",392.68075565211,GJ,2020-05-01,17.670634004345
